PID,Data0,Data1,Seq
0x10,05,89,60
0x42,36,A0,60
0x05,71,00,30
0x23,10,79,30
0x1F,00,67,15
0x0C,0E,09,181
0x0D,1B,00,181
0x11,38,00,121
0x0F,44,00,121
0x04,00,00,121
0x0C,10,0D,182
0x0D,1B,00,182
0x0C,10,A6,183
0x0D,1B,00,183
0x11,3C,00,122
0x0F,44,00,122
0x04,00,00,122
0x10,06,B8,61
0x42,36,DA,61
0x0C,10,84,184
0x0D,1B,00,184
0x11,3B,00,123
0x0F,44,00,123
0x04,00,00,123
0x0C,10,4F,185
0x0D,19,00,185
0x0C,10,20,186
0x0D,1A,00,186
0x11,3B,00,124
0x0F,44,00,124
0x04,00,00,124
0x10,06,87,62
0x42,36,8C,62
0x05,71,00,31
0x23,0F,66,31
0x0C,0F,F7,187
0x0D,1A,00,187
0x11,3A,00,125
0x0F,44,00,125
0x04,00,00,125
0x0C,0F,C5,188
0x0D,19,00,188
0x0C,0F,9C,189
0x0D,1A,00,189
0x11,39,00,126
0x0F,44,00,126
0x04,00,00,126
0x10,06,3E,63
0x42,36,EE,63
0x0C,0F,74,190
0x0D,1A,00,190
0x11,39,00,127
0x0F,44,00,127
0x04,00,00,127
0x0C,0F,3C,191
0x0D,19,00,191
0x0C,0E,F1,192
0x0D,18,00,192
0x11,39,00,128
0x0F,44,00,128
0x04,00,00,128
0x10,05,EA,64
0x42,36,DA,64
0x05,72,00,32
0x23,10,5A,32
0x1F,00,6B,16
0x0C,0E,AF,193
0x0D,18,00,193
0x11,37,00,129
0x0F,44,00,129
0x04,10,00,129
0x0C,0E,54,194
0x0D,16,00,194
0x0C,0D,A5,195
0x0D,17,00,195
0x11,36,00,130
0x0F,44,00,130
0x04,38,00,130
0x10,05,1B,65
0x42,36,2B,65
0x0C,0D,57,196
0x0D,16,00,196
0x11,3A,00,131
0x0F,44,00,131
0x04,4E,00,131
0x0C,0C,FD,197
0x0D,16,00,197
0x0C,0C,F6,198
0x0D,15,00,198
0x11,50,00,132
0x0F,44,00,132
0x04,4F,00,132
0x10,05,E5,66
0x42,36,17,66
0x05,72,00,33
0x23,12,DB,33
0x0C,0D,2B,199
0x0D,15,00,199
0x11,59,00,133
0x0F,44,00,133
0x04,45,00,133
0x0C,0D,2B,200
0x0D,15,00,200
0x0C,0D,4E,201
0x0D,13,00,201
0x11,56,00,134
0x0F,44,00,134
0x04,42,00,134
0x10,05,FF,67
0x42,36,65,67
0x0C,0D,64,202
0x0D,14,00,202
0x11,52,00,135
0x0F,44,00,135
0x04,43,00,135
0x0C,0D,A5,203
0x0D,15,00,203
0x0C,0F,13,204
0x0D,15,00,204
0x11,42,00,136
0x0F,43,00,136
0x04,16,00,136
0x10,06,86,68
0x42,36,B3,68
0x05,72,00,34
0x23,12,61,34
0x1F,00,6F,17
0x0C,0E,16,205
0x0D,15,00,205
0x11,35,00,137
0x0F,43,00,137
0x04,2C,00,137
0x0C,0D,CB,206
0x0D,15,00,206
0x0C,0D,B5,207
0x0D,15,00,207
0x11,37,00,138
0x0F,43,00,138
0x04,36,00,138
0x10,05,41,69
0x42,36,DA,69
0x0C,0D,BB,208
0x0D,15,00,208
0x11,37,00,139
0x0F,43,00,139
0x04,36,00,139
0x0C,0D,C5,209
0x0D,15,00,209
0x0C,0D,B5,210
0x0D,15,00,210
0x11,36,00,140
0x0F,43,00,140
0x04,35,00,140
0x10,05,29,70
0x42,36,65,70
0x05,72,00,35
0x23,10,F3,35
0x0C,0D,D1,211
0x0D,15,00,211
0x11,36,00,141
0x0F,43,00,141
0x04,35,00,141
0x0C,0D,B2,212
0x0D,15,00,212
0x0C,0D,CB,213
0x0D,13,00,213
0x11,37,00,142
0x0F,43,00,142
0x04,38,00,142
0x10,05,58,71
0x42,37,29,71
0x0C,0D,B8,214
0x0D,13,00,214
0x11,36,00,143
0x0F,43,00,143
0x04,32,00,143
0x0C,0D,C5,215
0x0D,12,00,215
0x0C,0D,C1,216
0x0D,12,00,216
0x11,36,00,144
0x0F,43,00,144
0x04,37,00,144
0x10,05,46,72
0x42,36,B3,72
0x05,72,00,36
0x23,11,11,36
0x1F,00,73,18
0x0C,0D,C8,217
0x0D,12,00,217
0x11,37,00,145
0x0F,43,00,145
0x04,37,00,145
0x0C,0D,DA,218
0x0D,10,00,218
0x0C,0D,BB,219
0x0D,0F,00,219
0x11,37,00,146
0x0F,43,00,146
0x04,33,00,146
0x10,05,41,73
0x42,36,3E,73
0x0C,0D,D4,220
0x0D,0D,00,220
0x11,37,00,147
0x0F,43,00,147
0x04,36,00,147
0x0C,0D,B2,221
0x0D,0D,00,221
0x0C,0D,B8,222
0x0D,0E,00,222
0x11,36,00,148
0x0F,43,00,148
0x04,38,00,148
0x10,05,5A,74
0x42,37,15,74
0x05,72,00,37
0x23,11,30,37
0x0C,0D,22,223
0x0D,0D,00,223
0x11,B1,00,149
0x0F,43,00,149
0x04,A3,00,149
0x0C,10,29,224
0x0D,0D,00,224
0x0C,10,10,225
0x0D,0C,00,225
0x11,AB,00,150
0x0F,43,00,150
0x04,93,00,150
0x10,07,B2,75
0x42,37,15,75
0x0C,0F,0D,226
0x0D,0E,00,226
0x11,B2,00,151
0x0F,43,00,151
0x04,AC,00,151
0x0C,0E,25,227
0x0D,11,00,227
0x0C,0B,F0,228
0x0D,11,00,228
0x11,B2,00,152
0x0F,43,00,152
