PID,Data0,Data1,Seq
0x42,36,B3,53
0x0C,0C,79,160
0x0D,00,00,160
0x11,42,00,107
0x0F,3F,00,107
0x04,54,00,107
0x0C,0C,6A,161
0x0D,00,00,161
0x0C,0C,6D,162
0x0D,00,00,162
0x11,3A,00,108
0x0F,3F,00,108
0x04,4C,00,108
0x10,05,3E,54
0x42,37,29,54
0x05,58,00,27
0x23,10,B6,27
0x0C,0C,7C,163
0x0D,00,00,163
0x11,38,00,109
0x0F,3F,00,109
0x04,44,00,109
0x0C,0C,8C,164
0x0D,00,00,164
0x0C,0C,8F,165
0x0D,00,00,165
0x11,39,00,110
0x0F,3F,00,110
0x04,44,00,110
0x10,05,33,55
0x42,36,C7,55
0x0C,0C,BB,166
0x0D,00,00,166
0x11,33,00,111
0x0F,3F,00,111
0x04,30,00,111
0x0C,0C,99,167
0x0D,00,00,167
0x0C,0C,63,168
0x0D,00,00,168
0x11,35,00,112
0x0F,3F,00,112
0x04,44,00,112
0x10,04,CC,56
0x42,36,79,56
0x05,58,00,28
0x23,0F,FF,28
0x1F,00,E3,14
0x0C,0C,83,169
0x0D,00,00,169
0x11,34,00,113
0x0F,3F,00,113
0x04,43,00,113
0x0C,0C,8C,170
0x0D,00,00,170
0x0C,0C,80,171
0x0D,00,00,171
0x11,34,00,114
0x0F,3F,00,114
0x04,47,00,114
0x10,04,BF,57
0x42,37,29,57
0x0C,0C,83,172
0x0D,03,00,172
0x11,34,00,115
0x0F,3F,00,115
0x04,3C,00,115
0x0C,0D,5D,173
0x0D,00,00,173
0x0C,0D,1C,174
0x0D,00,00,174
0x11,36,00,116
0x0F,3F,00,116
0x04,22,00,116
0x10,05,2E,58
0x42,36,EE,58
0x05,58,00,29
0x23,0F,A3,29
0x0C,0C,6A,175
0x0D,00,00,175
0x11,34,00,117
0x0F,3F,00,117
0x04,3C,00,117
0x0C,0C,4E,176
0x0D,00,00,176
0x0C,0C,83,177
0x0D,00,00,177
0x11,34,00,118
0x0F,3F,00,118
0x04,36,00,118
0x10,04,C9,59
0x42,36,52,59
0x0C,0C,92,178
0x0D,00,00,178
0x11,34,00,119
0x0F,3F,00,119
0x04,33,00,119
0x0C,0C,8F,179
0x0D,00,00,179
0x0C,0C,79,180
0x0D,00,00,180
0x11,34,00,120
0x0F,3F,00,120
0x04,3C,00,120
0x10,04,9B,60
0x42,36,B3,60
0x05,58,00,30
0x23,0F,C2,30
0x1F,00,E7,15
0x0C,0C,5A,181
0x0D,00,00,181
0x11,34,00,121
0x0F,3F,00,121
0x04,3F,00,121
0x0C,0C,76,182
0x0D,00,00,182
0x0C,0C,57,183
0x0D,00,00,183
0x11,34,00,122
0x0F,3F,00,122
0x04,41,00,122
0x10,04,7F,61
0x42,36,C7,61
0x0C,0C,67,184
0x0D,03,00,184
0x11,32,00,123
0x0F,3F,00,123
0x04,47,00,123
0x0C,0C,AE,185
0x0D,03,00,185
0x0C,0D,7D,186
0x0D,03,00,186
0x11,3F,00,124
0x0F,3F,00,124
0x04,39,00,124
0x10,05,DF,62
0x42,37,3C,62
0x05,58,00,31
0x23,12,7F,31
0x0C,0D,5A,187
0x0D,03,00,187
0x11,39,00,125
0x0F,3F,00,125
0x04,47,00,125
0x0C,0D,4B,188
0x0D,03,00,188
0x0C,0D,54,189
0x0D,03,00,189
0x11,39,00,126
0x0F,3F,00,126
0x04,44,00,126
0x10,05,6D,63
0x42,36,EE,63
0x0C,0D,6A,190
0x0D,03,00,190
0x11,37,00,127
0x0F,3F,00,127
0x04,45,00,127
0x0C,0D,7A,191
0x0D,03,00,191
0x0C,0D,FA,192
0x0D,03,00,192
0x11,37,00,128
0x0F,3F,00,128
0x04,2B,00,128
0x10,05,71,64
0x42,36,DA,64
0x05,58,00,32
0x23,10,3C,32
0x1F,00,EB,16
0x0C,0D,9F,193
0x0D,05,00,193
0x11,36,00,129
0x0F,3F,00,129
0x04,33,00,129
0x0C,0D,7A,194
0x0D,00,00,194
0x0C,0D,1C,195
0x0D,00,00,195
0x11,36,00,130
0x0F,3F,00,130
0x04,30,00,130
0x10,04,FF,65
0x42,37,29,65
0x0C,0C,A5,196
0x0D,00,00,196
0x11,35,00,131
0x0F,3F,00,131
0x04,5B,00,131
0x0C,0B,66,197
0x0D,03,00,197
0x0C,10,0A,198
0x0D,03,00,198
0x11,B4,00,132
0x0F,3F,00,132
0x04,B0,00,132
0x10,08,14,66
0x42,36,52,66
0x05,58,00,33
0x23,17,A0,33
0x0C,14,0E,199
0x0D,00,00,199
0x11,7E,00,133
0x0F,3F,00,133
0x04,5D,00,133
0x0C,13,C9,200
0x0D,00,00,200
0x0C,12,62,201
0x0D,00,00,201
0x11,69,00,134
0x0F,3F,00,134
0x04,4F,00,134
0x10,09,66,67
0x42,37,15,67
0x0C,11,A0,202
0x0D,00,00,202
0x11,63,00,135
0x0F,3F,00,135
0x04,51,00,135
0x0C,11,13,203
0x0D,05,00,203
0x0C,13,65,204
0x0D,06,00,204
0x11,58,00,136
0x0F,3F,00,136
0x04,47,00,136
0x10,09,F1,68
0x42,37,02,68
0x05,58,00,34
0x23,1A,02,34
0x1F,00,EF,17
0x0C,15,0B,205
0x0D,06,00,205
0x11,4A,00,137
0x0F,3F,00,137
0x04,3A,00,137
0x0C,16,AE,206
0x0D,0A,00,206
0x0C,18,2E,207
0x0D,0A,00,207
0x11,46,00,138
0x0F,3F,00,138
0x04,41,00,138
0x10,0C,38,69
0x42,37,3C,69
0x0C,19,F3,208
0x0D,0B,00,208
0x11,47,00,139
0x0F,3F,00,139
0x04,41,00,139
0x0C,1B,10,209
0x0D,0B,00,209
0x0C,1C,7D,210
0x0D,0E,00,210
0x11,45,00,140
0x0F,3F,00,140
0x04,40,00,140
0x10,0E,C8,70
0x42,37,29,70
0x05,58,00,35
0x23,20,53,35
0x0C,1D,A0,211
0x0D,0F,00,211
0x11,42,00,141
0x0F,3F,00,141
0x04,21,00,141
0x0C,1C,B6,212
0x0D,0F,00,212
0x0C,17,76,213
0x0D,0F,00,213
0x11,43,00,142
0x0F,3F,00,142
0x04,00,00,142
0x10,0A,A9,71
0x42,37,29,71
0x0C,10,AC,214
0x0D,0F,00,214
0x11,35,00,143
0x0F,3F,00,143
0x04,29,00,143
0x0C,0E,7D,215
0x0D,0F,00,215
0x0C,0E,10,216
0x0D,0D,00,216
0x11,3A,00,144
0x0F,3F,00,144
0x04,3C,00,144
0x10,05,DD,72
0x42,36,3E,72
0x05,58,00,36
0x23,12,F9,36
0x1F,00,F3,18
0x0C,0D,F3,217
0x0D,0E,00,217
0x11,3D,00,145
0x0F,3E,00,145
0x04,40,00,145
0x0C,0E,32,218
0x0D,0F,00,218
0x0C,0E,22,219
0x0D,0F,00,219
0x11,3E,00,146
0x0F,3E,00,146
0x04,43,00,146
0x10,06,5C,73
0x42,36,3E,73
0x0C,0E,29,220
0x0D,0D,00,220
0x11,38,00,147
0x0F,3E,00,147
0x04,3B,00,147
0x0C,0E,19,221
0x0D,0E,00,221
0x0C,0E,16,222
0x0D,0E,00,222
0x11,39,00,148
0x0F,3E,00,148
0x04,42,00,148
0x10,05,D1,74
0x42,36,B3,74
0x05,59,00,37
0x23,12,61,37
0x0C,0E,13,223
0x0D,0F,00,223
0x11,35,00,149
0x0F,3E,00,149
0x04,2F,00,149
0x0C,0D,80,224
0x0D,0F,00,224
0x0C,0D,5A,225
0x0D,0D,00,225
0x11,36,00,150
0x0F,3E,00,150
0x04,35,00,150
0x10,05,2B,75
0x42,37,50,75
0x0C,0D,7D,226
0x0D,0D,00,226
0x11,36,00,151
0x0F,3E,00,151
0x04,39,00,151
0x0C,0D,64,227
0x0D,0E,00,227
0x0C,0D,67,228
0x0D,0D,00,228
0x11,36,00,152
0x0F,3E,00,152
0x04,34,00,152
0x10,05,33,76
0x42,36,79,76
0x05,59,00,38
0x23,10,79,38
0x1F,00,F7,19
0x0C,0D,73,229
0x0D,0D,00,229
0x11,36,00,153
0x0F,3D,00,153
0x04,36,00,153
0x0C,0D,5D,230
0x0D,0E,00,230
0x0C,0D,64,231
0x0D,0D,00,231
0x11,36,00,154
0x0F,3D,00,154
0x04,37,00,154
0x10,05,42,77
0x42,37,15,77
0x0C,0D,83,232
0x0D,0D,00,232
0x11,36,00,155
0x0F,3D,00,155
0x04,36,00,155
0x0C,0D,64,233
0x0D,0A,00,233
0x0C,0D,96,234
0x0D,09,00,234
0x11,36,00,156
0x0F,3D,00,156
0x04,2F,00,156
0x10,05,36,78
0x42,36,EE,78
0x05,59,00,39
0x23,10,5A,39
0x0C,0D,67,235
0x0D,09,00,235
0x11,39,00,157
0x0F,3D,00,157
0x04,52,00,157
0x0C,0C,F6,236
0x0D,09,00,236
0x0C,0D,1C,237
0x0D,09,00,237
0x11,3C,00,158
0x0F,3D,00,158
